English,Remedy_1,Remedy_2,Remedy_3,Remedy
1ST DEGREE BURNS,,,,"In case of simple burns (sunburns) :Apis mellifica 9 or 15 CH : 5 granules every 10 to 15 minutes, spacing the times according to improvement, and Belladonna 9 CH : 5 granules hourly, spacing the times according to improvement.24 hours treatment.Then take Apis mellifica 5 CH and Belladonna 4 CH : 5 granules every morning, at lunchtime and in the evening.Note to differentiate Apis mellifica of Belladonna :Apis mellifica : rosy skin, stinging pain with edema relieved by cold water ;Belladonna : red, smooth skin, producing heat, burning pain."
ABORTION,MAGNESIA PHOSPHORICA 3X KALI PHOSPHORICUM 3X MIX IN WARM WATER IF REMEDY FAILS TRY REMEDY 2,SABINA6,,"MAGNESIA PHOSPHORICA 3X KALI PHOSPHORICUM 3X MIX IN WARM WATER IF REMEDY FAILS TRY REMEDY 2,SABINA6,"
ABRASIONS,,,,"Thoroughly clean the wound, remove dirt and foreign matters, and apply the ointment of CALENDULA around the wound. Calendula is a powerful disinfectant and healing.In case the cut is direct, painful, infected or difficult to heal, take Staphysagria 30CH"
ABSCESS,,,,Pyrogenium 7 or 9 CH : 5 granules in the morning and in the evening  during 1 week.In these cases and in the absence of deterioration of the general condition  Pyrogenium 9 CH can be indicated as first choice.In case of dental infections : Pyrogenium 7 or 9 CH : 5 granules in the morning and in the evening during 1 week.In the chronic infectious states  with suppuration : Pyrogenium 7 or 9 CH : 5 granules per day during 2 months.In case it occurs no quick improvement during the next 24-48 hours  it is preferable to see a doctor in order to resort to an adapted antibiotic therapy
ABSCESSES AND BOILS,HYPERICUM 6 ONE ONE TABLET 3-4 TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 ,CALCAREA FLOURIDE3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM3X MIX AND TAKE MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 3 ,SILICEA 200X ,"HYPERICUM 6 ONE ONE TABLET 3-4 TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 ,CALCAREA FLOURIDE3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM3X MIX AND TAKE MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 3 ,SILICEA 200X "
ABSENCE,TAKE CALCARIA FLOURIDE 3X.,,,TAKE CALCARIA FLOURIDE 3X.
ABSENCE OF THIRST,"KALI PHOSPHORICUM 3X,KALI SULPHURICUM 3X  MIX AND TAKE",,,"KALI PHOSPHORICUM 3X,KALI SULPHURICUM 3X  MIX AND TAKE"
ACETONAEMIA,,,,"Crisis treatment : Senna 4CH, 7 granules every half an hour alternating with Ipeca 7CHin case of vomiting and clean tongue of the small patient : Antimonium crudum 7CHin case the tongue is covered by a whitish coating. Acetone 7CHafter the crisis : Lycopodium 7CH 3 granules in the morning and in the evening, during 3 weeks.Background treatment : Lycopodium 7CH, 1 dose per week or Phosphorus 7CH in case of serious liver disease.On Sunday morning at wake-up : Calcarea muriatica 9CH, 10 granules."
ACETONAEMIA,,,,Acetonaemia is the presence of acetone in blood. This symptome is characterized by frequent nausea and vomiting  difficult to calm. After this first phase  the subject may present fever and feel abdominal pains  not always causing diarrhea. The patient loses his appetite and his breath  takes the characteristic odor of acetone  odor which is similar to that of a pippin.Treatment of the crisis : Senna 4CH 7 granules every 1\/2 an hour alternated with Ipeca 7CH in case of vomiting and clean tongue of the small patient. Antimonium crudum 7CH if tongue covered by a whitish coating. Acetone 7CH and Lycopodium 7CH 3 granules in the morning and in the evening  after the crisis  during 3 weeks.Background treatment : Lycopodium 7CH (1 dose per week) or Phosphorus 7CH in case of severe liver problems. In Sunday at wake up time : Calcarea muriatica 9CH  10 granules. 
ACIDITY,"CALCAREA PHOSPHORICA 3X ,12X FERRUM PHOSPHORICUM 12X ,KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12XNATRUM MURIATICUM 3X NATRUM MURIATICUM3XMIX AND GIVE",,,"CALCAREA PHOSPHORICA 3X ,12X FERRUM PHOSPHORICUM 12X ,KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12XNATRUM MURIATICUM 3X NATRUM MURIATICUM3XMIX AND GIVE"
