English,Remedy_1,Remedy_2,Remedy_3,Remedy_dummy,Symptoms,Remedy_DUMMY,Remedy
First DEGREE BURNS,,,,"In case of simple burns (sunburns) -Apis mellifica 9 or 15 CH - 5 granules every 10 to 15 minutes ,  spacing the times according to improvement ,  and Belladonna 9 CH - 5 granules hourly ,  spacing the times according to improvement. 24 hours treatment. Then take Apis mellifica 5 CH and Belladonna 4 CH - 5 granules every morning ,  at lunchtime and in the evening. Note to differentiate Apis mellifica of Belladonna -Apis mellifica - rosy skin ,  stinging pain with edema relieved by cold water ;Belladonna - red ,  smooth skin ,  producing heat ,  burning pain. ",First Degree Burns,"In Case Of Simple Burns (Sunburns) -Apis Mellifica 9 Or 15 Ch - 5 Granules Every 10 To 15 Minutes ,  Spacing The Times According To Improvement ,  And Belladonna 9 Ch - 5 Granules Hourly ,  Spacing The Times According To Improvement. 24 Hours Treatment. Then Take Apis Mellifica 5 Ch And Belladonna 4 Ch - 5 Granules Every Morning ,  At Lunchtime And In The Evening. Note To Differentiate Apis Mellifica Of Belladonna -Apis Mellifica - Rosy Skin ,  Stinging Pain With Edema Relieved By Cold Water ;Belladonna - Red ,  Smooth Skin ,  Producing Heat ,  Burning Pain. ","In Case Of Simple Burns (Sunburns) -Apis Mellifica 9 Or 15 Ch - 5 Granules Every 10 To 15 Minutes , Spacing The Times According To Improvement , And Belladonna 9 Ch - 5 Granules Hourly , Spacing The Times According To Improvement. 24 Hours Treatment. Then Take Apis Mellifica 5 Ch And Belladonna 4 Ch - 5 Granules Every Morning , At Lunchtime And In The Evening. Note To Differentiate Apis Mellifica Of Belladonna -Apis Mellifica - Rosy Skin , Stinging Pain With Edema Relieved By Cold Water ;Belladonna - Red , Smooth Skin , Producing Heat , Burning Pain."
ABORTION,MAGNESIA PHOSPHORICA 3X KALI PHOSPHORICUM 3X MIX IN WARM WATER IF REMEDY FAILS TRY REMEDY 2,SABINA6,,"MAGNESIA PHOSPHORICA 3X KALI PHOSPHORICUM 3X MIX IN WARM WATER IF REMEDY FAILS TRY REMEDY 2 , SABINA6",Abortion,"Magnesia Phosphorica 3X Kali Phosphoricum 3X Mix In Warm Water If Remedy Fails Try Remedy 2 , Sabina6","Magnesia Phosphorica 3X Kali Phosphoricum 3X Mix In Warm Water If Remedy Fails Try Remedy 2 , Sabina6"
ABRASIONS,,,,"Thoroughly clean the wound ,  remove dirt and foreign matters ,  and apply the ointment of CALENDULA around the wound.  Calendula is a powerful disinfectant and healing. In case the cut is direct ,  painful ,  infected or difficult to heal ,  take Staphysagria 30CH",Abrasions,"Thoroughly Clean The Wound ,  Remove Dirt And Foreign Matters ,  And Apply The Ointment Of Calendula Around The Wound.  Calendula Is A Powerful Disinfectant And Healing. In Case The Cut Is Direct ,  Painful ,  Infected Or Difficult To Heal ,  Take Staphysagria 30Ch","Thoroughly Clean The Wound , Remove Dirt And Foreign Matters , And Apply The Ointment Of Calendula Around The Wound. Calendula Is A Powerful Disinfectant And Healing. In Case The Cut Is Direct , Painful , Infected Or Difficult To Heal , Take Staphysagria 30Ch"
ABSCESS,,,,Pyrogenium 7 or 9 CH - 5 granules in the morning and in the evening  during 1 week. In these cases and in the absence of deterioration of the general condition  Pyrogenium 9 CH can be indicated as first choice. In case of dental infections - Pyrogenium 7 or 9 CH - 5 granules in the morning and in the evening during 1 week. In the chronic infectious states  with suppuration - Pyrogenium 7 or 9 CH - 5 granules per day during 2 months. In case it occurs no quick improvement during the next 24-48 hours  it is preferable to see a doctor in order to resort to an adapted antibiotic therapy,Abscess,Pyrogenium 7 Or 9 Ch - 5 Granules In The Morning And In The Evening  During 1 Week. In These Cases And In The Absence Of Deterioration Of The General Condition  Pyrogenium 9 Ch Can Be Indicated As First Choice. In Case Of Dental Infections - Pyrogenium 7 Or 9 Ch - 5 Granules In The Morning And In The Evening During 1 Week. In The Chronic Infectious States  With Suppuration - Pyrogenium 7 Or 9 Ch - 5 Granules Per Day During 2 Months. In Case It Occurs No Quick Improvement During The Next 24-48 Hours  It Is Preferable To See A Doctor In Order To Resort To An Adapted Antibiotic Therapy,Pyrogenium 7 Or 9 Ch - 5 Granules In The Morning And In The Evening During 1 Week. In These Cases And In The Absence Of Deterioration Of The General Condition Pyrogenium 9 Ch Can Be Indicated As First Choice. In Case Of Dental Infections - Pyrogenium 7 Or 9 Ch - 5 Granules In The Morning And In The Evening During 1 Week. In The Chronic Infectious States With Suppuration - Pyrogenium 7 Or 9 Ch - 5 Granules Per Day During 2 Months. In Case It Occurs No Quick Improvement During The Next 24-48 Hours It Is Preferable To See A Doctor In Order To Resort To An Adapted Antibiotic Therapy
ABSCESSES AND BOILS,HYPERICUM 6 ONE ONE TABLET 3-4 TIMES A DAYIF REMEDY FAILS TRY REMEDY 2 ,CALCAREA FLOURIDE3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM3X MIX AND TAKE MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 3 ,SILICEA 200X ,"HYPERICUM 6 ONE ONE TABLET 3-4 TIMES A DAYIF REMEDY FAILS TRY REMEDY 2  , CALCAREA FLOURIDE3X FERRUM PHOSPHORICUM 12X KALI MURIATICUM 3X KALI PHOSPHORICUM 3X KALI SULPHURICUM3X MIX AND TAKE MANY TIMES A DAY IF REMEDY FAILS TRY REMEDY 3  , SILICEA 200X ",Abscesses And Boils,"Hypericum 6 One One Tablet 3-4 Times A Dayif Remedy Fails Try Remedy 2  , Calcarea Flouride3X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali Sulphuricum3X Mix And Take Many Times A Day If Remedy Fails Try Remedy 3  , Silicea 200X ","Hypericum 6 One One Tablet 3-4 Times A Dayif Remedy Fails Try Remedy 2 , Calcarea Flouride3X Ferrum Phosphoricum 12X Kali Muriaticum 3X Kali Phosphoricum 3X Kali Sulphuricum3X Mix And Take Many Times A Day If Remedy Fails Try Remedy 3 , Silicea 200X"
ABSENCE,TAKE CALCARIA FLOURIDE 3X. ,,,TAKE CALCARIA FLOURIDE 3X,Absence,Take Calcaria Flouride 3X,Take Calcaria Flouride 3X
ABSENCE OF THIRST,"KALI PHOSPHORICUM 3X , KALI SULPHURICUM 3X  MIX AND TAKE",,,"KALI PHOSPHORICUM 3X , KALI SULPHURICUM 3X  MIX AND TAKE",Absence Of Thirst,"Kali Phosphoricum 3X , Kali Sulphuricum 3X  Mix And Take","Kali Phosphoricum 3X , Kali Sulphuricum 3X Mix And Take"
ACETONAEMIA,,,,"Crisis treatment - Senna 4CH ,  7 granules every half an hour alternating with Ipeca 7CHin case of vomiting and clean tongue of the small patient - Antimonium crudum 7CHin case the tongue is covered by a whitish coating.  Acetone 7CHafter the crisis - Lycopodium 7CH 3 granules in the morning and in the evening ,  during 3 weeks. Background treatment - Lycopodium 7CH ,  1 dose per week or Phosphorus 7CH in case of serious liver disease. On Sunday morning at wake-up - Calcarea muriatica 9CH ,  10 granules",Acetonemia,"Crisis Treatment - Senna 4Ch ,  7 Granules Every Half An Hour Alternating With Ipeca 7Chin Case Of Vomiting And Clean Tongue Of The Small Patient - Antimonium Crudum 7Chin Case The Tongue Is Covered By A Whitish Coating.  Acetone 7Chafter The Crisis - Lycopodium 7Ch 3 Granules In The Morning And In The Evening ,  During 3 Weeks. Background Treatment - Lycopodium 7Ch ,  1 Dose Per Week Or Phosphorus 7Ch In Case Of Serious Liver Disease. On Sunday Morning At Wake-Up - Calcarea Muriatica 9Ch ,  10 Granules","Crisis Treatment - Senna 4Ch , 7 Granules Every Half An Hour Alternating With Ipeca 7Chin Case Of Vomiting And Clean Tongue Of The Small Patient - Antimonium Crudum 7Chin Case The Tongue Is Covered By A Whitish Coating. Acetone 7Chafter The Crisis - Lycopodium 7Ch 3 Granules In The Morning And In The Evening , During 3 Weeks. Background Treatment - Lycopodium 7Ch , 1 Dose Per Week Or Phosphorus 7Ch In Case Of Serious Liver Disease. On Sunday Morning At Wake-Up - Calcarea Muriatica 9Ch , 10 Granules"
ACETONAEMIA,,,,Acetonaemia is the presence of acetone in blood.  This symptome is characterized by frequent nausea and vomiting  difficult to calm.  After this first phase  the subject may present fever and feel abdominal pains  not always causing diarrhea.  The patient loses his appetite and his breath  takes the characteristic odor of acetone  odor which is similar to that of a pippin. Treatment of the crisis - Senna 4CH 7 granules every 1\/2 an hour alternated with Ipeca 7CH in case of vomiting and clean tongue of the small patient.  Antimonium crudum 7CH if tongue covered by a whitish coating.  Acetone 7CH and Lycopodium 7CH 3 granules in the morning and in the evening  after the crisis  during 3 weeks. Background treatment - Lycopodium 7CH (1 dose per week) or Phosphorus 7CH in case of severe liver problems.  In Sunday at wake up time - Calcarea muriatica 9CH  10 granules,Acetonemia1,Acetonaemia Is The Presence Of Acetone In Blood.  This Symptome Is Characterized By Frequent Nausea And Vomiting  Difficult To Calm.  After This First Phase  The Subject May Present Fever And Feel Abdominal Pains  Not Always Causing Diarrhea.  The Patient Loses His Appetite And His Breath  Takes The Characteristic Odor Of Acetone  Odor Which Is Similar To That Of A Pippin. Treatment Of The Crisis - Senna 4Ch 7 Granules Every 1\/2 An Hour Alternated With Ipeca 7Ch In Case Of Vomiting And Clean Tongue Of The Small Patient.  Antimonium Crudum 7Ch If Tongue Covered By A Whitish Coating.  Acetone 7Ch And Lycopodium 7Ch 3 Granules In The Morning And In The Evening  After The Crisis  During 3 Weeks. Background Treatment - Lycopodium 7Ch (1 Dose Per Week) Or Phosphorus 7Ch In Case Of Severe Liver Problems.  In Sunday At Wake Up Time - Calcarea Muriatica 9Ch  10 Granules,Acetonaemia Is The Presence Of Acetone In Blood. This Symptome Is Characterized By Frequent Nausea And Vomiting Difficult To Calm. After This First Phase The Subject May Present Fever And Feel Abdominal Pains Not Always Causing Diarrhea. The Patient Loses His Appetite And His Breath Takes The Characteristic Odor Of Acetone Odor Which Is Similar To That Of A Pippin. Treatment Of The Crisis - Senna 4Ch 7 Granules Every 1\/2 An Hour Alternated With Ipeca 7Ch In Case Of Vomiting And Clean Tongue Of The Small Patient. Antimonium Crudum 7Ch If Tongue Covered By A Whitish Coating. Acetone 7Ch And Lycopodium 7Ch 3 Granules In The Morning And In The Evening After The Crisis During 3 Weeks. Background Treatment - Lycopodium 7Ch (1 Dose Per Week) Or Phosphorus 7Ch In Case Of Severe Liver Problems. In Sunday At Wake Up Time - Calcarea Muriatica 9Ch 10 Granules
ACIDITY,"CALCAREA PHOSPHORICA 3X  , 12X FERRUM PHOSPHORICUM 12X  , KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12XNATRUM MURIATICUM 3X NATRUM MURIATICUM3XMIX AND GIVE",,,"CALCAREA PHOSPHORICA 3X  , 12X FERRUM PHOSPHORICUM 12X  , KALI MURIATICUM 3X KALI PHOSPHORICUM 3X NATRUM PHOSPHORICUM 3X NATRUM SULPHURICUM 3X SILICEA 12XNATRUM MURIATICUM 3X NATRUM MURIATICUM3XMIX AND GIVE",Acidity,"Calcarea Phosphorica 3X  , 12X Ferrum Phosphoricum 12X  , Kali Muriaticum 3X Kali Phosphoricum 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Silicea 12Xnatrum Muriaticum 3X Natrum Muriaticum3Xmix And Give","Calcarea Phosphorica 3X , 12X Ferrum Phosphoricum 12X , Kali Muriaticum 3X Kali Phosphoricum 3X Natrum Phosphoricum 3X Natrum Sulphuricum 3X Silicea 12Xnatrum Muriaticum 3X Natrum Muriaticum3Xmix And Give"
